,individuo,tratamiento,TRAT,peso_semillas_mg,num_semillas,masa_num
LUT061(Self F1),152,Ex1,plastic_and_pollen,0,0,
LUT019 (Self F1),150,Ex5,plastic_and_pollen,0,0,
LUT019 (Self F1),150,P6,plastic,0,0,
LUT061 (Self F1),152,P2,plastic,0,0,
LUT019 (Self F1),150,P5,plastic,0,0,
LUT061 (Self F1),152,P3,plastic,0,0,
LUT019 (Self F1),150,P3,plastic,0,0,
LUT061 (Self F1),152,P1,plastic,0,0,
LUT019 (Self F1),142,P6,plastic,0,0,
LUT019 (Self F1),143,P2,plastic,0,0,
LUT039 (Self F1),141,P6,plastic,0,0,
LUT019 (Self F1),142,P5,plastic,0,0,
LUT019 (Self F1),142,P4,plastic,0,0,
LUT019 (Self F1),150,P4,plastic,0,0,
LUT039 (Self F1),141,P5,plastic,0,0,
LUT019 (Self F1),144,P1,plastic,0,0,
LUT039 (Self F1),141,P4,plastic,0,0,
LUT039 (Self F1),141,M1,mix,0,0,
LUT039 (Self F1),141,M4,mix,0,0,
LUT019 (Self F1),142,Ex8,plastic_and_pollen,0,0,
LUT061 (Self F1),152,C2,control,0,0,
LUT019 (Self F1),150,C7,control,0,0,
LUT061 (Self F1),146,C4,control,0,0,
LUT061 (Self F1),152,C1,control,0,0,
LUT039 (Self F1),141,C4,control,0,0,
LUT039 (Self F1),141,C5,control,0,0,
LUT039 (Self F1),141,C6,control,0,0,
LUT061 (Self F1),152,C3,control,0,0,
LUT039 (Self F1),141,M5,mix,0,0,
LUT019 (Self F1),142,M1,mix,0,0,
LUT019 (Self F1),142,M5,mix,0,0,
LUT019 (Self F1),143,M1,mix,0,0,
LUT019 (Self F1),150,P1,plastic,0,0,
LUT019 (Self F1),143,M2,mix,0,0,
LUT061 (Self F1),146,M2,mix,0,0,
LUT061 (Self F1),152,M1,mix,0,0,
LUT061 (Self F1),152,M2,mix,0,0,
